review_id,restaurant_id,review_score,review_content,food_score,service_score,atmosphere_score
Ci9DQUlRQUNvZENodHljRjlvT201dFZHSlBSR050YVc5S1RWbDBja2RQU0Vjd09IYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,我點了兩個雙層起司漢堡，並刻意強調我不要加任何起司。他們把食物給我的時候，包裝紙上貼著一張紙條，寫著「不要起司」。我問店員：「因為我對起司過敏，所以這兩個漢堡真的不要起司嗎？」他們回答：「是的，兩個漢堡不要起司。」結果15分鐘後我回到家，打開包裝紙一看，兩個漢堡裡竟然都加了起司！就這樣，我白白浪費了264元台幣……我實在無法理解，為什麼不加起司就這麼難？真是太讓人抓狂了…,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25sbFEzbDNiM1J6YzA5Zk9GUktWelpNTFdsaGNWRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,我自助點餐選櫃檯結帳 沒有支付方式就不應該自助點餐 排在人家現場點餐的後面結帳 跟笨蛋一樣,,,
Ci9DQUlRQUNvZENodHljRjlvT2xoaWMyMTVlbnBJVEZOTGNsOW9VRUpaVTFBeGVVRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,店經理亂叫號 等了要一個小時還要我過去問才知道早就好了,,,
Ci9DQUlRQUNvZENodHljRjlvT2xSclZUZzJZV3hTVkZoS1VrSktablphTVMxTWRIYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xJeVJEbERjbEZSWjFkVlNsbHBhRzFTTUVNM1IwRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,點餐機超爛，ㄧ直觸控有問題，三個月前就有反應，現在還是一樣，超爛,5,1,5
Ci9DQUlRQUNvZENodHljRjlvT2s1Wk5HUXdZeTA0TFc1MGRGcHdibTAwVW1VNFRWRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xwNVUyZzFNMDk0ZFRnM1FqUkpWbmxhUkRKc2FsRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25CYVFXbFZRMDlpVFd0YVFteFdWRU5aY2pseWFHYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,,,
Ci9DQUlRQUNvZENodHljRjlvT2w5blozbFVhWFpaT0hkbGVVSkJZMlJmYVZoYWQwRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,櫃檯跟後面的兩個人在那邊吼老半天 一個漢堡不要辣喊超級久 餐都已經出到後面10幾號去了 他們還沒確定好到底要不要辣 然後自己在那邊笑 其他雞塊配餐還用摔的在他們裡面那個櫃檯 超沒品,2,1,1
Ci9DQUlRQUNvZENodHljRjlvT214cGJGVnBjelphTlU1elNHNVpXVk56TTNoNmFFRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,爛死，把鋼彈公仔放進UberEat加購選項，加購後不給，飲料還做錯，漢堡也壓扁的,,,
Ci9DQUlRQUNvZENodHljRjlvT21wSlIxY3pXVm96UWtrMVNtVjVjMHhwZURoQlJFRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,今天吃到一根味道怪怪的薯條，吐出來像臭豆腐的臭味 超噁的！生平第一 次吃到臭薯條。破壞我的好心情！剩下的薯條吃的戰戰兢兢的…….還好只有一根,1,5,1
Ci9DQUlRQUNvZENodHljRjlvT2tvelMyWmlWVEZXTVRCalpqSmhZM05XZUVZeFVtYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,爛爆了 糖醋醬要錢 但沒付給我也沒有退錢呀,,,
Ci9DQUlRQUNvZENodHljRjlvT2tKRVgyTlllV1pOTTJkR1MzcE9ZV3BFVDFCYVNIYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,半夜高高的男店員態度很差，買麥當勞像是要討債，對於餐點狀況都不知道，只會做自己的事；另一個老女人也是狀況外，什麼都不會，希望趕快倒店，麥當勞不缺這種爛分店吧。,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2twSFJtUnNSVzk2Wm14S2NqZGFOVUU1WVhWaWRsRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,麥當勞的品管真的不行了，吃草莓冰炫風，挖旁邊料的時候，看到令人傻眼的一目，裡面竟然有一隻蚊子，不知道是在製作的時候黏到的，還是在等餐的時候黏到的，不只浪費了我的錢，當下還很想吐,1,4,1
Ci9DQUlRQUNvZENodHljRjlvT2tFMk9ISjNlbVZzTFRCcGFucFFWRkJ3Y0V0MVRYYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,這是一間叫號到13號時點一隻霜淇淋為15號，還需要等10分鐘的速食店。,,,
ChdDSUhNMG9nS0VJQ0FnSUNvMktYSF9BRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,大薯比中薯少,1,5,5
Ci9DQUlRQUNvZENodHljRjlvT2xkT01FMUtRMmR2T1dwclRHUTJXak5vTFZCNmNsRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"已經好幾次，餐點已經完成，服務人員就是不叫號，也不登錄到螢幕上，總是要一再去問服務人員，才能拿到餐。
今天早上，眼看著服務人員準備好2袋餐，卻是放在櫃臺然後去服務現場點餐的客人，等點完餐回來，他還是不叫號，直到我去詢問，他才從其中一袋拿給我。5秒鐘可以處理的事，硬是要讓我多等3分鐘。",3,1,1
Ci9DQUlRQUNvZENodHljRjlvT2t4MFNqZFFNRW96TldoSVdETkVTemxmTURSWFZIYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,點了玉米濃湯結果沒有拿到玉米濃湯，取餐的時候櫃檯小姐態度超差。非常糟糕的一個體驗。,3,1,1
Ci9DQUlRQUNvZENodHljRjlvT2pKWFJEWkxTMHBSUmtnemVUVTJlV2RNZWkxd2VuYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,點了去鹽薯條，吃到一半發現居然有有鹽薯條濫竽充數🤬🤬🤬,,,
Ci9DQUlRQUNvZENodHljRjlvT2pWQ1ZGRlJXVEEwT1VsUWNGcFdhVzFCTlVKM2FGRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"好幾次點 ubereat 雞塊都沒送糖醋醬包
別這樣 一天好心情都沒了
你一定要這麼粗心
我寧願你沒送雞塊送醬包來",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xOdlRVUXhTMVpPV25rMVoxOXNTVEZaY1dST1gwRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,,,
Ci9DQUlRQUNvZENodHljRjlvT2swemFVVm9ibVp3U1dKTGFISm1VRmsxT1VKUk1YYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"已經不知道第幾次了就是會忘記放糖醋醬，點餐時點選糖醋醬是點心酸的嗎？
6塊錢的東西也要凹，就沒看過你們忘記放番茄醬，這樣算不算詐欺啊？點的雞塊餐是有付糖醋醬的耶
也許只有這間分店有這種問題吧，大家參考一下吧",,,
Ci9DQUlRQUNvZENodHljRjlvT2pGNmVYWjRXblZmYldsaVdsaEZaMmRqY0ZaUFRrRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,飲料亂給是怎樣啊==出餐前看一下行不行,,,
Ci9DQUlRQUNvZENodHljRjlvT21wMFNEWjFPRTh4ZW5Nek4wbEhkVU5aZVZwbmVuYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"點了外帶自取 咖啡客制奶球跟糖又沒加
不是沒番茄醬或是沒糖醋醬 有時候忘了檢查
就又出包",,,
ChZDSUhNMG9nS0VJQ0FnTURRODhTR1NREAE,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"大薯是不是太少了！！
很忙 但要有順序 而且那麼多年了 要早有預料吧 現場 外送全部亂到爆 速食？？都讓人等三十幾分鐘",,,
Ci9DQUlRQUNvZENodHljRjlvT2pOR1NHVXpRVmxyWlV0VVlXSjVZV05xVFVFeGNGRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,現烤貝果都沒有附果醬，已經不是第一次這樣了,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2pocU9HdGpXblJzUWsxNlJqWnZZVTFSZEZwdWFWRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,這個穿紅衣服的態度不要這麼大聲跟不爽，做服務業的你也是外送員，還雙開，還是需要我打投訴電話呢？,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNIcjZlTnlBRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"叫UE外送的，店員把番茄醬各自丟到每一包薯條上，整個醬包油不拉機的是要怎麼撕開？更扯的是醬包上列印的有效期限文字因為遇熱印到薯條上了，真的好棒！！！

已經吃一肚子火了，玉米濃湯更崩潰，玉米粒只剩平常的1/3，重點還超稀！超！級！稀！
稀到比我家隔壁自助餐免費送的湯還稀！

我們五個人吃，不可能五個人味覺都壞掉吧？？？",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2pGWFRqSm9UVU4zWDI5U1UySXpVMWxWVjNZMk5rRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,做餐速度有待加強，不知道在裝忙什麼,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2tGVmFXcGlRamx5UTJSWWJWVnpPR041U1VWRFFtYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,,,
Ci9DQUlRQUNvZENodHljRjlvT2xwM1p6TmZhRk4zTXpaNmFERkNZWHBNVG5GalJGRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,不能內用，什麼破店,,,
Ci9DQUlRQUNvZENodHljRjlvT2s5MWRHVlZZelpNWDNKRE5taEJTVFl4Ykd0Uk4wRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,主管階級人員服務態度惡劣散漫,,,
Ci9DQUlRQUNvZENodHljRjlvT21oTlEzbzVhekZMTlhkSWRUVnpUbnBhZHpONmMyYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,科技大樓這家的薯條超級 超級～難吃，！每次吃到都是整包軟爛的薯條，說要現炸也還是軟的，浪費錢！,1,4,1
Ci9DQUlRQUNvZENodHljRjlvT2pWRk5sSm1RbVZwUzBoak5VTmxkV0Z0V2tVNVVrRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"玉米濃湯的玉米超少，幾粒而已
我跟店員說要用甜心卡，他根本沒聽進去，還害我要多付錢，連鎖店的SOP呢？",1,1,2
Ci9DQUlRQUNvZENodHljRjlvT2xoeWNDMTRYMnh0UlhNeFlURkdPSGMxVFhGaVVFRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,大薯？,1,4,
Ci9DQUlRQUNvZENodHljRjlvT21WdllYazBlRkpVWW5GTFIzTkdNVEZ3V201Wk1VRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,這位先生多次來他都態度有夠不好的，然後還會跟你在那邊吵架。,,,
Ci9DQUlRQUNvZENodHljRjlvT2xSVGFIQnVlbWR2YVhoblJXbFNlRnBtZFZBME4yYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"3點訂餐，到了4點多還沒準備好，打電話去跟我說沒看到單，那現在我幫你取消餐點，因為停止供餐了。
那請問我等一個小時在等什麼，沒看單是我的問題？
你們夜班是在幹嘛的，來混的？",,1,
Ci9DQUlRQUNvZENodHljRjlvT21sMmRIUnliMmc1U1VoR2JuZGpUMWx4TVcwMExWRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21oSlIzVTVVeTB0U0ZWRVIwcHBSWEUyU2tjMFYzYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,早上點餐超慢 明明前面只有兩個人 年紀大的男生問飲料中杯嗎？回答大杯說只有中杯那問我中杯到底要幹嘛 不懂欸 只點一杯飲料等了4分鐘慢得不行,,1,
Ci9DQUlRQUNvZENodHljRjlvT2pSM2EyMWhjMlIxUkdJM2JTMVpTRVpmVDNCUWFIYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,女櫃檯店員自己接單外送，壓單超過20分鐘，訊息詢問才棄單，收到的食物全部已經冷掉，垃圾,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25CaldYbHNNazVFYVdSV2VteHNRMDFXYUhKcVVWRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"點餐人員有麥當勞的傲慢
顧客不熟悉麥當勞的點餐機制
但她回答的方式和表情
好像我是來亂的

不是每個人天天都吃麥噹勞、都愛麥當勞
今天只是剛好路過想說吃個早餐

然後⋯我第一次看到沒座位可以內用的門市
出餐速度倒是很快",4,1,1
Ci9DQUlRQUNvZENodHljRjlvT25sQmIwZzRRMGcyVVZOU1NVZHFVWEpzTlhVelpHYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,點勁辣雞結果來麥香雞 員工素質有待加強,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xaRk5XbDBhVGgzZG5oWldIZE5ka3B2VW1sM1dIYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,點歡樂送被拆成兩單，兩單送來間隔1小時，到餐後還有遺漏，等到用餐時間都結束了，店內制度混亂，如果人力無法負荷訂單，是否當下應考慮暫時關閉外送平台。,3,1,1
Ci9DQUlRQUNvZENodHljRjlvT2poc1RFTlNNSGs1TURsMFpFSmpTRkJFWkVwalIzYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,這家常常漏給餐也漏給醬包！,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25RdFFVTkpaMHR5TFhCVldrSlRaa3RVVW5ST1ZXYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,沒用餐區的麥當勞不能理解,,,
Ci9DQUlRQUNvZENodHljRjlvT2poNVdUUkhkemQwU0dOeFQyWndVVFZtWW5SemJrRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,,,
Ci9DQUlRQUNvZENodHljRjlvT2xaNmVuSjBja0YwVTNocFRFWTFUSFF0Y0hWbFprRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,態度差,,1,
ChdDSUhNMG9nS0VJQ0FnSUNkMU9xYmhRRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,薯條有勾要番茄醬卻都沒給,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2w5ZlFXRkRlV2x3YjBST1VXVlFWMlp5VjFWb09HYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,我知道這是速食店，大家都講求快速，但點餐時服務人員都講妳要講的，ㄧ直推妳要推的，沒有問客人還要什麼需求，給我薯餅一包蕃茄醬都沒給，妳問客人了嗎？雖然不是什麼大事，基本常識也要問一下啊！怎麼服務越來越差,4,1,1
ChZDSUhNMG9nS0VJQ0FnSUR5bVpteVB3EAE,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,變通能力很差，薯餅沒了不會賣薯條嗎？速度紀律差很多，糟糕，跟其他麥當勞平台相較需要多教育，真的是零分,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT214b1NtTmlXRUpVZUdwV2VWTlhabVZXTm5JeVZGRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,服務員口氣不好,5,1,4
Ci9DQUlRQUNvZENodHljRjlvT2xKUlVHNVhTMlJWZFZsRWVrcHlRamgxWWtGQ1dXYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,站櫃台的冰炫風小姐 沒有辦法幫忙就別來搗亂 買一個漢堡跟玉米濃湯而已 也不會好好裝湯匙也沒有放 東漏西漏的一直拖累別人 前台的也不知道在幹嘛一直裝忙,,,
Ci9DQUlRQUNvZENodHljRjlvT2pGRmJ6Um9PSHBhTlhCbmNURk1URXhQVGxjelUyYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,買570元食物，加二杯玉米濃湯，還置了購物袋，請問貴店放個杯架會怎樣嗎？？？到家玉米濃湯都只剩半杯，爛,1,1,1
ChdDSUhNMG9nS0VJQ0FnSURybHRmOG1RRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"這家的薯條特別好吃👍👍👍
不信的你單點一包小薯試試
為什麼給1星 是因為大家只看最低評論",,,
Ci9DQUlRQUNvZENodHljRjlvT2pCSWJsOUNkSG8yZGtkTmVFOVpNRlV4WVU1MlNsRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"我用手機點餐預先點了吉士漢堡，結果到了店裡後已經先跟他們説號碼，他們只說還沒做，站了十分鐘後問怎麼還沒好，一個店員說手機點餐會預估我要來的時間所以還沒做？直到後來其他店員出來才說吉士漢堡是午餐，所以點了要等10點半後再開始做？
這到底什麼爛店 搶我50元 我到現在都還沒收到發票 要怎麼退款",5,1,1
Ci9DQUlRQUNvZENodHljRjlvT2s1TmIxYzRhVkpZTVhsVWJtcGFUM3BZWWpWaVUzYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"很爛的服務
排隊半天都排到了叫我去點餐機點？？？
那幹嘛設櫃檯 全部關一關就好了
拿餐點的時候態度還很差 很用力的放在桌上 這員工培訓是不是有點誇張",,1,1
Ci9DQUlRQUNvZENodHljRjlvT210SFkxcFdaMlJPTjBWNFNFRTFNVU5RVVdsb2NuYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,剛剛買的“大”薯，您沒看錯，外帶回家從紙袋中取出，還沒開始吃，就只有半包...,,,
ChdDSUhNMG9nS0VPQ3Axc0xXNjQzZjN3RRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,半夜營業時間與google不符…,,,
Ci9DQUlRQUNvZENodHljRjlvT2xOcFdHUmtTa2M0V2xRemNGSXdNRjlyZGt0c2NHYxAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,內用只有3個站位，笑死,,1,1
ChZDSUhNMG9nS0VKek52cjJ4a2MycVhBEAE,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"點雞腿雞塊分享盒結果沒有雞塊
打電話過去說10分鐘回電結果就沒下文了
終於理解為什麼店內的員工性侵案這公司會這麼處理了
因為粉飾太平是這間公司的企業文化",,1,
ChdDSUhNMG9nS0VKLUlvZTc1eUpmQzF3RRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,谷歌顯示的營業時間有誤…,,,
ChdDSUhNMG9nS0VJQ0FnTURvNC1MV3dBRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"這間真的頗爛，常常雙層4盎司拿到都不是現煎的。乾到靠杯真的吃的很不爽

更可悲的是一直清潔機器還不更新營業時間讓人撲空蠻噁心人的",,,
ChdDSUhNMG9nS0VNajZwOEhLemUtUDhRRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,,,,
ChZDSUhNMG9nS0VJQ0FnTURJeElHVVBBEAE,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,這家店沒有椅子,1,1,1
ChdDSUhNMG9nS0VJQ0FnTUR3eGRmOHZRRRAB,ChIJ5Zls-surQjQRtT-wtUeIkxo,1,"雙層牛肉吉事堡點要雙倍酸黃瓜 結果全部的酸黃瓜都給我拿掉⋯⋯^_^ 一片都沒留想怎樣
今天就是想吃酸黃瓜才點 破防了",,,
