review_id,restaurant_id,review_score,review_content,food_score,service_score,atmosphere_score
Ci9DQUlRQUNvZENodHljRjlvT25WQlQyTlFXakE1V0RCUFZUaE9PR1pKWjFGRWEwRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"我發誓非常難吃，不信可以看看其他人評論
我發誓非常難吃，不信可以看看其他人評論
我發誓非常難吃，不信可以看看其他人評論

冷凍水餃比這個好吃100倍，當初就是不信大家的負評，結果真的踩雷，吃到難吃的東西真的會生氣",,,
Ci9DQUlRQUNvZENodHljRjlvT21aWmFHVktSakpLVm5NelJFTldabXBJWVZGRlRWRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,可憐的店家，吃其他家還比較爽,,1,1
Ci9DQUlRQUNvZENodHljRjlvT2pseVNUTlZUMVF4YUdWbloxZDRSVkJZTnpsWlZsRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"用餐環境骯髒 態度超差 水餃煮太爛
酸辣湯沒有烏醋 非常不愉快不美味的店家 差勁",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21oUVRrRjBkMlp4YW1sTlFXVm1TbVJCWkdoV2FYYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,就只是個水餃 去吃八方就好,,,
Ci9DQUlRQUNvZENodHljRjlvT2prd01GcHBVMlExYUhWMVdIVkxOV2RpUjI1MFNXYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"一份10顆/100元，這高檔的價格你可以得到什麼？
1. 長達20分鐘的排隊時間（安排位子超慢）
2.長達十分鐘的等餐時間
3.又濕又爛的水餃皮，以及非常鹹的水餃內餡

憑心而論，去7-11買微波水餃都比這斯CP值高
更不用說南機場還有其他家賣水餃的店家

如果你只是覺得嚐鮮，一次就好
賣得比巧之味貴，沒道理",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25kM1JIRndhV1pOVjJaNWNVRTFWRjlmUzI0dFdIYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,等很久,,1,
Ci9DQUlRQUNvZENodHljRjlvT25CSmNuSkRVeTFqVUV0SUxVMXFZazFSTjFJNVVYYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"那個老闆娘態度不知道在差什麼？
搞得好像大家欠你錢？
不耐煩的代位、要離開時還被老闆娘瞪
這種態度真的是讓人不敢恭維",1,1,1
ChZDSUhNMG9nS0VJQ0FnSURKMjhieEZBEAE,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"服務很惡劣，帶位像被倒會，結帳也不會道謝。
水餃皮OK，內餡很軟爛，一顆8塊。不如吃八方。
酸辣湯很一般。但硬要比小菜可能還比較好吃。
環境髒亂，整體體驗很糟糕。",2,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xwcFNsTjNZazVxYm0xRFNqVlZUWFJIUm1WWmVXYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"沒開也沒公告在google,白跑一趟",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21WU2JYaE5ia0ZmYmtONU5tMDVRbXRqVFV0QlFVRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,10顆100元 三小 漲價會不會太離譜 排隊就算了 這價位的餃子還吃不到肉味？？？  高麗菜豬肉水餃只有菜味！ 我們還點30顆  吃一顆馬上傻眼，我寧願去吃路口黑豬肉水餃 一顆5元 肉味還很濃,1,1,1
