review_id,restaurant_id,review_score,review_content,food_score,service_score,atmosphere_score
Ci9DQUlRQUNvZENodHljRjlvT205NE5WTmtaazV0WVRKNE5WVkJaRkpzT1hWNFFsRRAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,超難吃到底都是誰在吃==,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2sxak0ydExSbEJvY0dOUmNIcERVMVl0UldWZk5VRRAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,門口煎蛋餅年紀大的女人，請她剪個蛋餅，態度極差，還用摔的，要不是看妳年長，真想罵妳二句，拿回家狗都不吃，對你們的評分跟蛋餅售價ㄧ樣，49分,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xkeFozTkdZMVF0YVhoU1RIZFJjVU5rYTBsdVYzYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,難吃 身為內湖人完全不推薦,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2tKRFkwMURZVFE0WkVsUU0zTm1XVVZHWlUwNVMwRRAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,態度不太好 口氣也...,,,
Ci9DQUlRQUNvZENodHljRjlvT2xOTk5sbzJMVGd4UzJWQmNtcHRjakZCWlVWemRrRRAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,6/8晚上點一個蛋餅跟豬肉餡餅回到家發現沒給,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21KamRIWXRhMncyTkU0NWNHRnpaR3RCY3pnek5uYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21SaVVDMVNkbVp3VDFseU9VbDZiekkyYUZaeFdYYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,怎麼又買到酸掉的豆漿.,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2t4MmQzcHpXVzFEVTFkVVgxOXVVbXcwZVZKNlZtYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,"餐點普通但是價格非常昂貴
用餐環境有點油膩不乾淨的感覺
員工也沒什麼服務態度
基本上我覺得不需要特別來嚐鮮的店",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2swM2RIcGZiemx6TmprMU5qUkpiRUpmWjNsUFJIYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,價格偏高又難吃!服務員欠缺熱誠，店內髒亂不堪，最近連提袋都要付費（全台北市區沒碰到這種爛店）空有名氣真的越做越差!給老闆良心建議好好改進，不然客源流失是餐飲業大忌!,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2poU2EzSlJOekZmVERZNFoxOVVRekJPZFdaVGIwRRAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,東西很貴，又沒有做出相應的品質,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xnNWRrSm9ablp6VlhwaVZrcDBTbWM0ZFRGSGNYYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,知名店家，可惜價格太高了，希望可以親民一點！！,,,
Ci9DQUlRQUNvZENodHljRjlvT25obE16UmlWVGN5T0ZkT1lVUXlTRWR5UzBkdWVYYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,"餐點吃起來就是正常的豆漿店，價格較其他地方略高， 評價一般般，附近上班不知道吃啥可以考慮一下。
但是，下班路過就看到穿著豆漿店服飾的阿伯就在店面騎樓柱子旁/馬路邊，直接吐口水（吐痰？）到地上，有夠不衛生，評價直接扣光，",4,3,1
Ci9DQUlRQUNvZENodHljRjlvT21SbE1YUlNjMTk0WVdGRFJFZHhXV3hCVlRVd2RFRRAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,普通的中式早餐，尊爵不凡的價格,2,1,1
Ci9DQUlRQUNvZENodHljRjlvT21GRUxYUlFMVEZaY2tVNU9VVlpTa3h5T0RKTWJuYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,今天點了韮菜蝦仁蒸餃和韮菜盒各一，蒸餃居然乾巴巴(應該是冰很久的)韮菜盒油到不行，想著内湖有名的老店居然是雷店.,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xwZmF6ZHhlV2xRVW1KQ1RIWlFXRGRMYjFOUWNVRRAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,點餐阿姨真的不知道態度在差幾百點，點個餐態度就差，後來跟朋友各講一次兩杯無糖豆漿，阿姨自己跟旁邊大哥也講無糖豆漿，我們在結帳都有聽到，回座位發現大哥送了有糖豆漿，跑去跟大哥說做到有糖豆漿，阿姨還很不爽說無糖要先講，我們傻眼，跟阿姨說剛剛有說了，雖然最後還是重做無糖給我們，但整個態度0分，蔥蛋油到爆炸，東西也沒多好吃在那邊跩個二五八萬，根本只是附近沒什麼豆漿店而已。 真心不推。,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xkdFEwcHZPWEpOVFU5aFlYRm1WMmx6V21VeVUzYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,十幾年前都好吃，近日耒吃感覺服務缺熱誠，小籠包也不是現作的，蒸或加熱時間拿捏不好，口感不佳。貴一點沒關係，但貴要有貴的價值，好不容易才建立有一點點小名氣，令人相當失望…,,,
Ci9DQUlRQUNvZENodHljRjlvT20wdGEzSmlXa2N6ZFhWNExXazJkblpuUTFwUWRrRRAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,"豆漿濃郁但有抹布味 其他餐點普普
名人加持過價格就是…",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25KNE9HMDRSbkppWWtwWlpVMXFVSEJFYWtkS1NHYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,"櫃檯的老男員工 會故意不給發票
你問了再一邊碎碎唸 一邊印發票出來甩到你的托盤上
希望態度差的員工出去消費的時候
都可以受到他服務別人的服務態度",,,
Ci9DQUlRQUNvZENodHljRjlvT205TmEzTnJTazVPU0ZnMlVWcGFjSGRxU2pOM09HYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,"內湖一家開了35年的丹餅店…

衛生狀況也跟35年前一樣嗎？

最好別指望有什麼服務。

把食物丟掉簡直太糟糕了🤦",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2poWGJXSldZa0ZtVTNkWlJWcHFkRk5sWW5wSmNIYxAB,ChIJuylXlmysQjQR9Ki2eWi7IfA,1,"這家晚班有一位負責收錢的老男員工態度好差！

跟朋友點了一些餐點還有煎餃，因為煎餃還沒好，所以先把準備好的餐點拿到餐桌用餐，過了一陣子發現煎餃還沒好就去詢問煎餃好了沒，結果那位老員工在那邊唸剛剛有喊但我們沒聽到，一直唸…

真的很可笑，店內空間這麼大還有其他客人聊天的聲音，你敢說你喊“餐點好了” 喊很大聲嗎？ 聲音有大到吸引別的客人注意嗎？ 我看你也閒閒沒事，是不會端到桌上來啊？ 真的很可笑，如果我沒去問，一直到我離開你們都不會提醒或送上來？都收了錢就做事啊！很困難嗎？ 我看你也路過我的座位整理回收餐盤，路過也不會提醒一下？ 有夠可憐，笑死人，這種對待客人的態度，讓我未來不會再來用餐，也提醒未來要來用餐的客人，自己點了什麼餐點一定要留意，以免付了錢，店員就不當一回事，餐點沒吃是你家的損失，店家不會付任何責任跟義務提醒你們餐點沒拿

店家這種收錢不主動提供餐點，抱著客人有想到就給，沒想到就賺到的僥倖心態真的不可取，也是啦！一顆韭黃鮮肉鍋貼要12塊，當客人點越多，沒吃到就離開，店家就越賺，還可以怪客人自己沒聽到，嘖嘖嘖

一顆星真的剛好而已，這家店的衛生也是有待加強，另一位男員工在旁邊抽煙，煙味都往食物吹，建議衛生局進行稽查環境衛生",,,
